"Did Dräxlmaier supply parts for the BMW 1600 GT?","Yes, the BMW 1600 GT was the first BMW with Dräxlmaier interior systems."
"Why did Dräxlmaier expand its Vilsbiburg site in 1968?","The growing number of orders prompted Dräxlmaier to expand its Vilsbiburg site in 1968."
"What improvements were made in the 1968 expansion?","The company set up its own mould and tool production and installed its first computer system."
"When did Audi become a customer?","Audi became a customer in 1969."
"When did Volkswagen start being supplied by Dräxlmaier?","Volkswagen was supplied with products by the Dräxlmaier Group starting in 1971."
"When did Dräxlmaier's international expansion begin?","International expansion began in 1974 with a production site in Tunisia."
"Where was the first international production site?","The first international production site was established in Tunisia in 1974."
"Did Dräxlmaier open a plant in Canada?","Yes, a production plant for wiring harnesses and interior components was opened in Canada in 1976."
"What was the employee count in the 1980s?","Dräxlmaier employed almost 2000 people in the course of the 1980s."
"Where did Dräxlmaier establish a production site in 1978?","A production site was established in Braunau am Inn, Austria, in 1978."
"When did Dräxlmaier first supply components for Mercedes-Benz?","The company produced components for Mercedes-Benz for the first time in 1982."
"What technological advancement did Dräxlmaier adopt in 1983?","In 1983, Dräxlmaier used a mainframe computer for the first time and converted 100 workstations to electronic data processing."
"What foundation for supply chain management was created in 1987?","The construction of the automated high-bay warehouse and the small-parts picking warehouse in 1987 created the foundation for supply chain management."
"When did Dräxlmaier open sites in Czechia and Romania?","Dräxlmaier opened production sites in the Czechia and Romania in 1993."
"How did Dräxlmaier become a system supplier for interiors?","The company became a system supplier for interiors in 1994 with the order to develop and supply the complete cockpit for the Mercedes-Benz CLK."
"When did Dräxlmaier expand to America and Mexico?","The production network was expanded with new plants in America and Mexico in 1996."
"What was the 'Functionally Integrated System' (FIS)?","The FIS was a system developed for the BMW 7 Series, creating the first interior module to integrate all electrical and electronic functions of a car door."
"When was the 'Functionally Integrated System' (FIS) installed?","The first 'Functionally Integrated System' (FIS) was installed in the BMW 7 Series in 1997."
"Did Dräxlmaier acquire any companies in 1997?","Yes, in November 1997, Dräxlmaier bought the subsidiary Holzindustrie Bruchsal GmbH from Daimler-Benz AG."
"When was the Dräxlmaier Technology Centre in Vilsbiburg opened?","The company moved into the new Dräxlmaier Technology Centre in Vilsbiburg in 1998."
"What did Dräxlmaier produce for the Mercedes-Benz CL Coupe?","The Dräxlmaier Group produced a full-leather interior as the first system supplier for the Mercedes-Benz CL Coupe."
"What did Dräxlmaier supply for the BMW Z8?","Dräxlmaier produced the complete interior and wiring system for the BMW Z8."
"What was Dräxlmaier's role in the Maybach luxury sedan?","In 2002, Dräxlmaier developed, produced, and delivered the complete wiring system and interior for the Maybach luxury sedan."
"When did Dräxlmaier build a plant in Shenyang, China?","A new plant was built in Shenyang, China in 2003."
"Which new customers did Dräxlmaier acquire around 2003?","Since 2003, Porsche, Jaguar, and Cadillac have become part of the company's customer base."
"Where did Dräxlmaier open sites in 2005?","A site was opened in South Africa in 2005."
"Where did Dräxlmaier open sites in 2006?","In 2006, sites were opened in Thailand, Spain, and Mexico."
"Tell me about the plant in Balti, Moldova.","In 2007, Dräxlmaier built a completely new factory in Balti, Moldova, employing 2000 people."
"What innovative material did Dräxlmaier introduce in 2008?","The Dräxlmaier Group introduced a natural fibre composite material for vehicle interiors in 2008."
"In which car was the natural fibre composite material first used?","The door panel developed for the BMW 7 Series is made of biocomposite material, introduced in 2008."
"When did Dräxlmaier open a plant in Serbia?","A production plant was opened in Serbia in 2008."
"When did the group start building prototypes for electromobility?","The group started building prototypes for electromobility in 2009."
"What did Dräxlmaier supply for the Porsche Panamera?","Dräxlmaier developed the complete interior and the electrical system for the Porsche Panamera, launched in 2009."
"What was special about the door panel for the BMW i3?","In 2011, Dräxlmaier developed the world's first door panel with visible natural fibre, which was first installed in the all-electric BMW i3 in 2013."
"When did Dräxlmaier build a plant in Kavadarci, Macedonia?","A fully integrated production plant was built in Kavadarci, Macedonia in 2012."
"Did Dräxlmaier open a site in Leipzig, Germany?","Yes, a Dräxlmaier Group site opened in Leipzig, Germany in 2013."
"What was Dräxlmaier Aviation GmbH?","Dräxlmaier Aviation GmbH was a business segment opened in 2013 that developed and produced interiors for private and business aircraft until 2017."
"When did Tesla become a customer?","Tesla Motors was acquired as a customer in 2014."
"Was QESTRONIC integrated into the Dräxlmaier Group?","Yes, QESTRONIC Advanced Technologies GmbH was integrated into the Dräxlmaier Group in 2015."
"Where did Dräxlmaier open a new production site in China in 2016?","A new production site for interior components was opened in Langfang, China in 2016."
"What is the collaboration between Dräxlmaier and the Technical University of Munich (TUM)?","Dräxlmaier established a research and development location on the Garching campus of TUM in 2017 to work on future topics of the automotive industry."
"Where did Dräxlmaier open a production site in the USA in 2017?","A new production site for interior components was opened in Livermore, USA, in 2017."
"What is the Dräxlmaier Campus in Garching?","The Dräxlmaier Campus, built in 2018, is a facility where developers and TUM researchers work together on the future of the automotive industry."
"Where does Dräxlmaier produce 800-volt automotive batteries?","The company built a plant in Sachsenheim near Stuttgart in 2019 for the production of 800-volt automotive batteries."
"Who took on the role of CEO in 2020?","On April 1, 2020, Franz Haslinger and Martin Gall took on the function of CEOs."
"Who is the current CEO?","Since August 2021, Stefan Brandl and Franz Haslinger have been responsible for the management."
"What is Fritz Dräxlmaier's current role in the company?","Long-term CEO Fritz Dräxlmaier remains associated with the company as a representative of the shareholders and continues to exercise his function as chairman of the board."
"Was Dräxlmaier recognized by Forbes as a 'World's Best Employer'?","Yes, the Dräxlmaier Group was included in the list of the World's Best Employers by Forbes in 2021, 2022, and 2023."
"Has Dräxlmaier been certified as a Top Employer in Germany?","Yes, in 2024, Dräxlmaier was certified as a Top Employer for the 16th time in a row."
"What was the company's anniversary in 2023?","In 2023, the Dräxlmaier Group celebrated its 65th anniversary."
"What is the German Idea Management Award?","The German Idea Management Award is an award that Dräxlmaier was honored with in 2022."
"Did Dräxlmaier receive an award from BMW Group?","Yes, in 2022, the company was honored with the BMW Group Supplier Innovation Award."
"What is the 'Schwarzer Löwe' business award?","It is a business award that Dräxlmaier received for its battery plant in Sachsenheim in 2022."
"What is the 'TOP Climate Commitment 2023' seal?","It is a seal the company received in 2023 for its commitment to climate action."
"What is the Cross Border Award?","It is an award from the Lower Bavaria Chamber of Industry and Commerce for cross-border commitment, which Dräxlmaier won in 2023."
"Did Dräxlmaier Tunisia win any awards?","Yes, Dräxlmaier Tunisia won the prize for the best CSR campaign for sustainable innovation in 2023 and 2024."
"What honor did Fritz Dräxlmaier receive in 2024?","In 2024, Fritz Dräxlmaier was inducted into the Family Business Hall of Fame by the Handelsblatt editorial team."
"Is the Dräxlmaier Group involved in social commitment?","Yes, the Dräxlmaier Group is involved in targeted sponsoring and donation activities in areas like education, social commitment, environment, culture, and sport."
"Does Dräxlmaier sponsor any sports teams?","Yes, the company has been a sponsoring partner of the Baskets Vilsbiburg since 2008."
"Is the company involved in supporting young talent in sports?","Yes, the company is the name sponsor of the 'Baskets Grundschulliga powered by DRÄXLMAIER Group' to support young talent."
"Does Dräxlmaier sponsor cultural events?","Yes, for example, Dräxlmaier sponsors the Landshut Short Film Festival."
"Does the company make donations?","Yes, Dräxlmaier makes regular donations to various charitable organizations in the region."
"Is Dräxlmaier's social commitment international?","Yes, the Dräxlmaier Group also fulfills its role as a corporate citizen at international locations."
"Can you give an example of Dräxlmaier's international social commitment?","Examples include donating medical equipment to hospitals in Romania or supporting an association for children with disabilities in Tunisia."
"What is the book 'Dräxlmeier - we create character' about?","It is a book about the Dräxlmaier company written by Tobias Nickel, published in 2019."
"Is the company considered an inventor of any specific product?","Yes, Dräxlmaier is considered the inventor of the customised wiring harness."
"Who founded the Dräxlmaier company?","The company was founded by Lisa and Fritz Dräxlmaier Sr. in 1958."
"What was the first product made for the Goggomobil?","The first product was 50,000 wiring harnesses for the Goggomobil."
"What other parts did Dräxlmaier supply for the Goggomobil?","Dräxlmaier later supplied the entire vehicle equipment, including instrument panels, door panels, seat coverings, and rear shelves."
"What kind of equipment was installed in the 1960s?","Dräxlmaier installed its first systems for welding door panels and forming thermoplastic sheets."
"What was the purpose of the automated high-bay warehouse?","The automated high-bay warehouse, built in 1987, was foundational for the company's supply chain management, controlling material flow and JIT/JIS processes."
"What does JIT/JIS stand for?","JIT/JIS stands for Just-In-Time/Just-In-Sequence, which are logistics processes for supplying parts to an assembly line."
"What was the significance of the Mercedes-Benz CLK order?","The order to supply the complete cockpit for the Mercedes-Benz CLK in 1994 marked the company's step to becoming a system supplier for interiors."
"What did the Dräxlmaier Technology Centre in Vilsbiburg signify?","The opening of the Technology Centre in 1998 in Vilsbiburg centralized the company's research and development efforts."
"Does Dräxlmaier have a presence in South Africa?","Yes, a site was opened in South Africa in 2005."
"What happened in Serbia in 2008?","A production plant was opened in Serbia in 2008, initially employing 800 workers."
"Has Dräxlmaier always been in the automotive business?","Yes, the company entered the growing automotive market in May 1958."
"Is Dräxlmaier still a family-owned company?","Yes, the article describes it as a family-owned company."
"Who are the chairmen of the management board?","Stefan Brandl and Jan Reblin are the chairmen of the management board."
"Has the company's revenue generally increased over the years?","Yes, the provided table shows a general upward trend in sales revenue from 2005 to 2024, despite some fluctuations."
"Has the number of employees always increased?","No, the table shows that the number of employees has fluctuated, with peaks around 2018-2019 and a decrease to 70,000 by 2024."
"What is the source for the financial data?","The sources cited are Die Welt and Bundesanzeiger."
"Are wiring harnesses a major product for Dräxlmaier?","Yes, the company was founded on producing wiring harnesses and they are still a key product, with Dräxlmaier considered the inventor of the customized wiring harness."
"What kind of specific interior parts are mentioned?","The text mentions instrument panels, centre consoles, and door panels as specific interior parts."
"What is an example of Dräxlmaier's innovation in materials?","An example is the introduction of a natural fibre composite material for vehicle interiors, first used in a BMW 7 Series door panel."
"What is Dräxlmaier's contribution to electromobility?","Dräxlmaier contributes to electromobility by developing and producing customized battery systems and components, including high-voltage and low-voltage systems."
"Where was the first factory building located?","The first factory building was built at the company's main site in Vilsbiburg in 1964."
"How did the company's data processing evolve?","The company installed its first computer system in 1968 and later used a mainframe computer in 1983, converting 100 workstations to electronic data processing."
"When was the company officially named Dräxlmaier Group?","The Dräxlmaier Group of Companies was renamed Dräxlmaier Group in 1997."
"Did Dräxlmaier only produce interiors for cars?","No, from 2013 to 2017, Dräxlmaier Aviation GmbH also developed and produced interiors for private and business aircraft."
"What is the significance of the Sachsenheim plant?","The plant in Sachsenheim, built in 2019, is significant for its production of high-voltage 800-volt automotive batteries."
"Has the company's leadership changed recently?","Yes, the leadership changed in 2020 and again in August 2021, when Stefan Brandl and Franz Haslinger became responsible for management."
"How has Forbes recognized Dräxlmaier?","Forbes has recognized Dräxlmaier as one of the 'World's Best Employers' for multiple consecutive years (2021, 2022, 2023)."
"What is the 'Cross Border Award' for?","The 'Cross Border Award' from the Lower Bavaria Chamber of Industry and Commerce recognizes a company's commitment to cross-border activities."
"What kind of support does Dräxlmaier provide in Tunisia?","In Tunisia, Dräxlmaier supports an association for the care and integration of children with disabilities and has won awards for its CSR campaigns."
"What is the company's main business?","The main business of Dräxlmaier Group is being a globally operating automotive supplier for premium vehicles."
"When did Dräxlmaier enter the automotive market?","Dräxlmaier entered the automotive market in May 1958."
"Tell me about the headquarters location.","The headquarters is located in the Lower Bavarian city of Vilsbiburg, Germany."
"How many people work for the Dräxlmaier Group?","As of 2024, the Dräxlmaier Group has around 70,000 employees."
"What was the revenue in euros for 2024?","The revenue for 2024 was 5.5 billion euros."
"Who is Stefan Brandl?","Stefan Brandl is one of the Managing Directors and Chairman of the Dräxlmaier Group."
"Who is Jan Reblin?","Jan Reblin is one of the Managing Directors and Chairman of the Dräxlmaier Group."
"What car brands does Dräxlmaier supply?","Dräxlmaier supplies brands like Audi, BMW, Jaguar, Land Rover, Mercedes-Benz, MINI, Porsche, Tesla, and Volkswagen."
"Does the company make fuse boxes?","Yes, the company manufactures high-voltage power distributors and fuse boxes."
"What materials are used in Dräxlmaier's innovative door panels?","Dräxlmaier developed a door panel with visible natural fibre, made from a biocomposite material."
"What happened in 1958 in the company's history?","In 1958, Lisa and Fritz Dräxlmaier Sr. founded the company and received their first order for Goggomobil wiring harnesses."
"What milestone occurred in 1966?","In 1966, BMW became a new customer of Dräxlmaier."
"Tell me about Dräxlmaier's expansion in the 1970s.","In the 1970s, Dräxlmaier expanded internationally, opening sites in Tunisia (1974) and Canada (1976), and a site in Austria (1978)."
"What happened in 1994 for Dräxlmaier?","In 1994, Dräxlmaier became a system supplier for interiors with an order for the Mercedes-Benz CLK cockpit."
"Tell me about the Maybach project.","In 2002, Dräxlmaier developed, produced, and delivered the complete wiring system and interior for the Maybach luxury sedan."
"What is the significance of the year 2009 for the company?","In 2009, the group started building prototypes for electromobility and supplied the interior and electrical system for the Porsche Panamera."
"What is Dräxlmaier's connection to the Technical University of Munich?","Dräxlmaier collaborates with the Technical University of Munich (TUM) at a research and development location on the Garching campus."
"What happened on April 1, 2020, in the company?","On April 1, 2020, Franz Haslinger and Martin Gall took on the function of CEOs of the Dräxlmaier Group."
"Has Dräxlmaier won any innovation awards?","Yes, the company has won awards like the BMW Group Supplier Innovation Award in 2022."
"How does Dräxlmaier contribute to the local community in Vilsbiburg?","Dräxlmaier supports the local community through sponsoring local sports like the Baskets Vilsbiburg and making donations to charitable organizations."
"What is the company's specialization?","The company specializes in premium vehicle components, including wiring systems, electronics, interiors, and battery systems."
"When was the company founded and where?","The company was founded in 1958 in Vilsbiburg, Germany."
"Who are the current chairmen of the board?","Stefan Brandl and Jan Reblin are the current chairmen of the management board."
"What were the sales in 2024?","Sales in 2024 were EUR 5.5 billion."
"How large is the company's workforce?","The company's workforce consists of around 70,000 employees as of 2024."
"Can you list some of the premium car brands Dräxlmaier works with?","Dräxlmaier works with premium brands such as Porsche, Mercedes-Benz, BMW, and Jaguar."
"What are 'central electrical and electronic components'?","These are key electronic parts for vehicles, a product category for Dräxlmaier, including things like fuse boxes and power distributors."
"Does Dräxlmaier's product line include batteries?","Yes, their product line includes low- and high-voltage battery systems for electric mobility."
"What was the first car Dräxlmaier was involved with?","The first car was the Goggomobil, for which they made wiring harnesses."
"When did the first international site open?","The first international site opened in 1974 in Tunisia."
"What is the FIS system in the BMW 7 Series?","The 'Functionally Integrated System' (FIS) was the first interior module to integrate all electrical and electronic functions of a car door into one system."
"Tell me about the company's expansion into China.","A new plant was built in Shenyang, China, in 2003, and another site for interior components was opened in Langfang in 2016."
"What is the purpose of the Dräxlmaier Campus in Garching?","The campus is a research and development hub where Dräxlmaier employees and TUM professors collaborate on future automotive technologies."
"What award did the Sachsenheim battery plant receive?","The battery plant in Sachsenheim received the 'Schwarzer Löwe' business award in 2022."
"How many times has Dräxlmaier been named a Top Employer in Germany?","As of 2024, Dräxlmaier has been certified as a Top Employer for 16 consecutive years."
"What kind of social activities does the company support?","The company supports education, social commitment, the environment, culture, and sport through sponsoring and donations."
"How does the company support children?","The company supports young talent through sports sponsorships and supports an association for children with disabilities in Tunisia."
"What was the revenue in 2005?","The revenue in 2005 was EUR 1.41 billion."
"How many employees were there in 2005?","There were 31,000 employees in 2005."
"What was the revenue in 2015?","The revenue in 2015 was EUR 3.75 billion."
"How many employees did the company have in 2015?","The company had 56,200 employees in 2015."
"What was the trend of revenue between 2008 and 2012?","The revenue showed a strong increasing trend, growing from EUR 1.74 billion in 2008 to EUR 2.38 billion in 2012, with a dip in 2009."
"What was the trend of the staff numbers between 2016 and 2018?","The staff numbers increased significantly, from 60,800 in 2016 to 79,100 in 2018."
"What type of company is the Dräxlmaier Group?","The Dräxlmaier Group is a private, family-owned automotive supplier."
"What is the primary industry of the Dräxlmaier Group?","The primary industry of the Dräxlmaier Group is the automotive sector."
"What year was Dräxlmaier established?","Dräxlmaier was established in 1958."
"Where is the main office of Dräxlmaier located?","The main office of Dräxlmaier is in Vilsbiburg, Germany."
"How many global locations does the company have?","The company has 60 global locations."
"Who is on the management board?","The management board includes Stefan Brandl, Jan Reblin, Dr. Harald Straky, Arno Güllering, and Torsten Kurz."
"Who is the chairman of the board of administration?","Friedrich Dräxlmaier is the Chairman of the Administrative Board."
"What do they manufacture at Dräxlmaier?","Dräxlmaier manufactures wiring harness systems, central electrical and electronic components, interiors, and battery systems."
"What was the company's revenue for the 2024 fiscal year?","The company's revenue for the 2024 fiscal year was EUR 5.5 billion."
"How many individuals are employed by the Dräxlmaier Group?","The Dräxlmaier Group employs approximately 70,000 individuals."
"What is the web address for Dräxlmaier?","The web address for Dräxlmaier is www.draexlmaier.com."
"What was Dräxlmaier's global supplier ranking in 2022?","In 2022, Dräxlmaier was ranked 64th among the 100 largest automotive suppliers worldwide."
"Which automotive companies does Dräxlmaier supply?","Dräxlmaier supplies automotive companies such as Audi, BMW, Jaguar, Land Rover, Mercedes-Benz, MINI, Porsche, Tesla, and Volkswagen."
"Does Dräxlmaier have any customers in the US?","Yes, Dräxlmaier supplies Tesla, which is a US-based company."
"What was the revenue for the year 2023?","The revenue for 2023 was EUR 5.6 billion."
"What was the total number of employees in 2023?","The total number of employees in 2023 was 70,000."
"What was the revenue in the year 2022?","The revenue in 2022 was EUR 5.1 billion."
"How many staff members were there in 2022?","There were 74,000 staff members in 2022."
"What were the sales in 2021?","The sales in 2021 were EUR 4.6 billion."
"How large was the staff in 2021?","The staff was 72,000 strong in 2021."
"What was the 2020 revenue?","The 2020 revenue was EUR 4.18 billion."
"What was the employee count for 2020?","The employee count for 2020 was 74,000."
"How much did the company make in 2019?","The company made EUR 4.91 billion in 2019."
"What was the number of employees in 2019?","The number of employees in 2019 was 79,400."
"How did revenue change from 2023 to 2024?","Revenue slightly decreased from EUR 5.6 billion in 2023 to EUR 5.5 billion in 2024."
"Did the employee count change from 2023 to 2024?","No, the employee count remained the same at 70,000."
"What is a 'wiring tree'?","A 'wiring tree' is another term for a wiring harness system, a product developed by Dräxlmaier."
"What does Dräxlmaier provide to the auto industry?","Dräxlmaier provides wiring harness systems, electrical components, interior systems, and battery systems to the auto industry."
"What types of electrical systems are produced by the company?","The company produces high-voltage and battery wiring harnesses, data wires, and engine wiring harnesses."
"Are data wires for vehicles part of Dräxlmaier's products?","Yes, Dräxlmaier produces data wires for vehicles."
"What are some examples of Dräxlmaier's component systems?","Examples include high-voltage wiring, data cables, sensors, switches, and fuse boxes."
"Does the company make switches and sensors?","Yes, sensors and switches are part of their component systems."
"What kind of car interiors does Dräxlmaier produce?","Dräxlmaier produces instrument panels, centre consoles, and door panels for premium cars."
"Can you name a car model with a Dräxlmaier center console?","The Mercedes-Benz 205 features a centre console developed by Dräxlmaier."
"Does Dräxlmaier manufacture integrated modules?","Yes, they manufacture complete door and cockpit modules adapted for specific vehicles."
"Does Dräxlmaier offer custom lighting solutions?","Yes, Dräxlmaier creates RGB ambient lighting for car interiors."
"What is the scope of Dräxlmaier's battery system portfolio?","Their portfolio includes lithium-ion based battery systems ranging from 12V to 900V."
"What is the voltage capacity of their battery systems?","Their battery systems have a voltage capacity ranging from 12 volts to 900 volts."
"What was the very first order the company received?","The very first order was for 50,000 wiring harnesses for the Goggomobil."
"In what year did Dräxlmaier get its first contract?","Dräxlmaier got its first contract in May 1958."
"Which car model was the first to use Dräxlmaier parts?","The Goggomobil was the first car model to use Dräxlmaier parts."
"In which year was the first Dräxlmaier factory constructed?","The first Dräxlmaier factory was constructed in 1964."
"In what year did Dräxlmaier start supplying to BMW?","Dräxlmaier started supplying to BMW in 1966."
"Which BMW model first featured Dräxlmaier interiors?","The BMW 1600 GT was the first to feature Dräxlmaier interiors."
"Why was the Vilsbiburg site expanded in 1968?","The Vilsbiburg site was expanded in 1968 due to a growing number of orders."
"What was added during the 1968 expansion?","During the 1968 expansion, the company added its own mould and tool production and its first computer system."
"In which year did Audi become a client?","Audi became a client in 1969."
"When did Dräxlmaier begin supplying to Volkswagen?","Dräxlmaier began supplying to Volkswagen in 1971."
"When did the company start its international operations?","The company started its international operations in 1974 with a site in Tunisia."
"Where was Dräxlmaier's first international factory?","Dräxlmaier's first international factory was in Tunisia, established in 1974."
"Did Dräxlmaier have a presence in Canada in the 70s?","Yes, a plant was opened in Canada in 1976."
"What was the approximate number of employees in the 1980s?","In the 1980s, the company had almost 2,000 employees."
"Where in Austria did Dräxlmaier open a site in 1978?","In 1978, Dräxlmaier opened a site in Braunau am Inn, Austria."
"When did the company first start working with Mercedes-Benz?","The company first started working with Mercedes-Benz in 1982."
"What major IT change happened in 1983?","In 1983, the company adopted a mainframe computer and implemented electronic data processing for 100 workstations."
"What was the purpose of the 1987 automated warehouse?","The 1987 automated warehouse was built to create a foundation for modern supply chain management and JIT/JIS processes."
"When did Dräxlmaier expand into Eastern Europe?","Dräxlmaier expanded into Eastern Europe in 1993, opening sites in Czechia and Romania."
"How did the company's role change in 1994?","In 1994, the company became a system supplier for interiors after securing a contract for the Mercedes-Benz CLK cockpit."
"When did the company establish plants in the Americas?","The company established plants in America and Mexico in 1996."
"What is the FIS and for which car was it developed?","The Functionally Integrated System (FIS) is an integrated module for car doors, first developed for the BMW 7 Series in 1997."
"When was the FIS first implemented?","The FIS was first implemented in 1997."
"Which company did Dräxlmaier acquire in 1997?","In 1997, Dräxlmaier acquired Holzindustrie Bruchsal GmbH from Daimler-Benz AG."
"When did the Dräxlmaier Technology Centre open?","The Dräxlmaier Technology Centre opened in Vilsbiburg in 1998."
"What was Dräxlmaier's role for the Mercedes-Benz CL Coupe?","Dräxlmaier was the first system supplier to produce a full-leather interior for the Mercedes-Benz CL Coupe."
"What parts did Dräxlmaier provide for the BMW Z8?","Dräxlmaier provided the complete interior and wiring system for the BMW Z8."
